2012-06-11 14:44:59 status half-installed tzdata 2012c-0squeeze1
2012-06-11 14:44:59 status unpacked tzdata 2012c-0squeeze1
2012-06-11 14:44:59 status unpacked tzdata 2012c-0squeeze1
2012-06-11 14:44:59 install bsdutils <none> 1:2.17.2-9
2012-06-11 14:44:59 status half-installed bsdutils 1:2.17.2-9
2012-06-11 14:44:59 status unpacked bsdutils 1:2.17.2-9
2012-06-11 14:44:59 status unpacked bsdutils 1:2.17.2-9
2012-06-11 14:44:59 install libblkid1 <none> 2.17.2-9
2012-06-11 14:44:59 status half-installed libblkid1 2.17.2-9
2012-06-11 14:44:59 status unpacked libblkid1 2.17.2-9
2012-06-11 14:44:59 status unpacked libblkid1 2.17.2-9
2012-06-11 14:44:59 install libuuid1 <none> 2.17.2-9
2012-06-11 14:44:59 status half-installed libuuid1 2.17.2-9
2012-06-11 14:44:59 status unpacked libuuid1 2.17.2-9
2012-06-11 14:44:59 status unpacked libuuid1 2.17.2-9
2012-06-11 14:44:59 install mount <none> 2.17.2-9
2012-06-11 14:44:59 status half-installed mount 2.17.2-9
2012-06-11 14:44:59 status unpacked mount 2.17.2-9
2012-06-11 14:44:59 status unpacked mount 2.17.2-9
2012-06-11 14:44:59 install util-linux <none> 2.17.2-9
2012-06-11 14:44:59 status half-installed util-linux 2.17.2-9
2012-06-11 14:44:59 status unpacked util-linux 2.17.2-9
2012-06-11 14:45:00 status unpacked util-linux 2.17.2-9
2012-06-11 14:45:00 install liblzma2 <none> 5.0.0-2
2012-06-11 14:45:00 status half-installed liblzma2 5.0.0-2
2012-06-11 14:45:00 status unpacked liblzma2 5.0.0-2
2012-06-11 14:45:00 status unpacked liblzma2 5.0.0-2
2012-06-11 14:45:00 install xz-utils <none> 5.0.0-2
2012-06-11 14:45:00 status half-installed xz-utils 5.0.0-2
2012-06-11 14:45:00 status unpacked xz-utils 5.0.0-2
2012-06-11 14:45:00 status unpacked xz-utils 5.0.0-2
